Pressure Altitude (ft),-30_,-20_,-10_,0_,10_,20_,30_,40_,50_
0,"11,000","11,000","11,000","11,000","11,000","10,720","10,240","9,710","9,110"
"1,000","11,000","11,000","11,000","11,000","10,850","10,350","9,890","9,380","8,790"
"2,000","11,000","11,000","11,000","11,000","10,500","10,000","9,520","9,030","8,420"
"3,000","11,000","11,000","11,000","10,590","10,100","9,630","9,160","8,680","8,160"
"4,000","11,000","11,000","10,650","10,180","9,700","9,290","8,790","8,330","7,960"
"5,000","11,000","10,700","10,240","9,800","9,350","8,920","8,490","8,020","7,780"
"6,000","10,700","10,290","9,850","9,450","9,050","8,600","8,150","7,700","7,590"
"7,000",10280,"9,850","9,480","9,080","8,660","8,250","7,850",N/A,N/A
"8,000",9890,9500,"9,110","8,740","8,340",N/A,N/A,N/A,N/A
"9,000",9480,9110,"8,750","8,400","8,020",N/A,N/A,N/A,N/A
"10,000",9100,8750,"8,420","8,090",N/A,N/A,N/A,N/A,N/A
"11,000",8750,8410,"8,100",N/A,N/A,N/A,N/A,N/A,N/A
"12,000",8390,8100,N/A,N/A,N/A,N/A,N/A,N/A,N/A
